table,variable,declared_len,max_used
DEMO,age_cod,3,3
DEMO,age_grp,1,1
DEMO,auth_num,70,70
DEMO,e_sub,1,1
DEMO,event_dt_prec,1,1
DEMO,fda_dt_prec,1,1
DEMO,i_f_code,1,1
DEMO,init_fda_dt_prec,1,1
DEMO,lit_ref,500,500
DEMO,mfr_dt_prec,1,1
DEMO,mfr_num,70,70
DEMO,mfr_sndr,70,70
DEMO,occp_cod,2,2
DEMO,quarter,6,6
DEMO,rept_cod,5,5
DEMO,rept_dt_prec,1,1
DEMO,sex,1,1
DEMO,to_mfr,1,1
DEMO,wt_cod,3,3
DRUG,cum_dose_chr,10,10
DRUG,dechal,1,1
DRUG,dose_vbm,300,300
DRUG,drugname,255,255
DRUG,exp_dt_prec,1,1
DRUG,nda_num,20,20
DRUG,prod_ai,500,500
DRUG,quarter,6,6
DRUG,rechal,1,1
DRUG,role_cod,2,2
DRUG,val_vbm,1,1
REAC,quarter,6,6
INDI,quarter,6,6
OUTC,outc_cod,2,2
OUTC,quarter,6,6
THER,dur_cod,3,3
THER,end_dt_prec,1,1
THER,quarter,6,6
THER,start_dt_prec,1,1
RPSR,quarter,6,6
RPSR,rpsr_cod,3,3
