table,quarter,expected_rows,imported_rows,difference,status,seconds
DELETE,2025Q3,4947,4947,0,PASS,
DELETE,2025Q4,4497,4497,0,PASS,
DELETE,2026Q1,6135,6135,0,PASS,
DELETE,2026Q2,4217,4217,0,PASS,
DEMO,2025Q3,438512,438512,0,PASS,2.9
DEMO,2025Q4,385288,385288,0,PASS,2.5
DEMO,2026Q1,397224,397224,0,PASS,2.6
DEMO,2026Q2,422459,422459,0,PASS,2.7
DRUG,2025Q3,2148451,2148451,0,PASS,12.9
DRUG,2025Q4,1815349,1815349,0,PASS,11.4
DRUG,2026Q1,1703210,1703210,0,PASS,10.2
DRUG,2026Q2,1627225,1627225,0,PASS,10.4
INDI,2025Q3,1310274,1310274,0,PASS,1.4
INDI,2025Q4,1168789,1168789,0,PASS,1.2
INDI,2026Q1,1139940,1139940,0,PASS,1.2
INDI,2026Q2,1124333,1124333,0,PASS,1.2
OUTC,2025Q3,343251,343251,0,PASS,0.2
OUTC,2025Q4,289721,289721,0,PASS,0.1
OUTC,2026Q1,291580,291580,0,PASS,0.1
OUTC,2026Q2,303705,303705,0,PASS,0.1
REAC,2025Q3,1535133,1535133,0,PASS,2.1
REAC,2025Q4,1349105,1349105,0,PASS,1.8
REAC,2026Q1,1330675,1330675,0,PASS,1.7
REAC,2026Q2,1394751,1394751,0,PASS,1.8
RPSR,2025Q3,11107,11107,0,PASS,0
RPSR,2025Q4,10694,10694,0,PASS,0
RPSR,2026Q1,11426,11426,0,PASS,0
RPSR,2026Q2,11295,11295,0,PASS,0
THER,2025Q3,514480,514480,0,PASS,0.8
THER,2025Q4,454746,454746,0,PASS,0.7
THER,2026Q1,404946,404946,0,PASS,0.6
THER,2026Q2,326027,326027,0,PASS,0.5
