table,column,declared_len,raw_max,headroom,verdict
DEMO,age_cod,3,3,0,AT_CAP
DEMO,age_grp,1,1,0,AT_CAP
DEMO,auth_num,70,70,0,AT_CAP
DEMO,e_sub,1,1,0,AT_CAP
DEMO,event_dt,8,8,0,AT_CAP
DEMO,fda_dt,8,8,0,AT_CAP
DEMO,i_f_code,1,1,0,AT_CAP
DEMO,init_fda_dt,8,8,0,AT_CAP
DEMO,lit_ref,500,500,0,AT_CAP
DEMO,mfr_dt,8,8,0,AT_CAP
DEMO,mfr_num,70,70,0,AT_CAP
DEMO,mfr_sndr,70,70,0,AT_CAP
DEMO,occp_cod,2,2,0,AT_CAP
DEMO,occr_country,5,2,3,OK
DEMO,reporter_country,25,21,4,OK
DEMO,rept_cod,5,5,0,AT_CAP
DEMO,rept_dt,8,8,0,AT_CAP
DEMO,sex,1,1,0,AT_CAP
DEMO,to_mfr,1,1,0,AT_CAP
DEMO,wt_cod,3,3,0,AT_CAP
DRUG,cum_dose_chr,10,10,0,AT_CAP
DRUG,cum_dose_unit,10,7,3,OK
DRUG,dechal,1,1,0,AT_CAP
DRUG,dose_form,70,65,5,OK
DRUG,dose_freq,12,9,3,OK
DRUG,dose_unit,10,7,3,OK
DRUG,dose_vbm,300,300,0,AT_CAP
DRUG,drugname,255,255,0,AT_CAP
DRUG,exp_dt,8,8,0,AT_CAP
DRUG,lot_num,40,35,5,OK
DRUG,nda_num,20,20,0,AT_CAP
DRUG,prod_ai,500,500,0,AT_CAP
DRUG,rechal,1,1,0,AT_CAP
DRUG,role_cod,2,2,0,AT_CAP
DRUG,route,50,47,3,OK
DRUG,val_vbm,1,1,0,AT_CAP
REAC,drug_rec_act,100,79,21,OK
REAC,pt,100,97,3,OK
INDI,indi_pt,100,93,7,OK
OUTC,outc_cod,2,2,0,AT_CAP
THER,dur_cod,3,3,0,AT_CAP
THER,end_dt,8,8,0,AT_CAP
THER,start_dt,8,8,0,AT_CAP
RPSR,rpsr_cod,3,3,0,AT_CAP
