drug_label,category,label,n_cases,denom,pct,category_order,label_order
DULAGLUTIDE,Overall,comparator generation,4028,111673,3.6069596053,1,1
LIRAGLUTIDE,Overall,comparator generation,1830,111673,1.6387130282,1,1
SEMAGLUTIDE,Overall,newer generation,35705,111673,31.972813482,1,1
TIRZEPATIDE,Overall,newer generation,70111,111673,62.782409356,1,1
DULAGLUTIDE,Age group,<=45,392,4028,9.731876862,2,1
DULAGLUTIDE,Age group,46-64,1568,4028,38.927507448,2,2
DULAGLUTIDE,Age group,>=65,1369,4028,33.987090367,2,3
DULAGLUTIDE,Age group,Unknown,699,4028,17.353525323,2,4
LIRAGLUTIDE,Age group,<=45,241,1830,13.169398907,2,1
LIRAGLUTIDE,Age group,46-64,465,1830,25.409836066,2,2
LIRAGLUTIDE,Age group,>=65,292,1830,15.956284153,2,3
LIRAGLUTIDE,Age group,Unknown,832,1830,45.464480874,2,4
SEMAGLUTIDE,Age group,<=45,3538,35705,9.9089763338,2,1
SEMAGLUTIDE,Age group,46-64,7345,35705,20.571348551,2,2
SEMAGLUTIDE,Age group,>=65,7183,35705,20.117630584,2,3
SEMAGLUTIDE,Age group,Unknown,17639,35705,49.402044532,2,4
TIRZEPATIDE,Age group,<=45,10381,70111,14.806521088,2,1
TIRZEPATIDE,Age group,46-64,20126,70111,28.705909201,2,2
TIRZEPATIDE,Age group,>=65,15744,70111,22.455820057,2,3
TIRZEPATIDE,Age group,Unknown,23860,70111,34.031749654,2,4
DULAGLUTIDE,Sex,Female,1898,4028,47.120158888,3,1
DULAGLUTIDE,Sex,Male,1128,4028,28.003972195,3,1
DULAGLUTIDE,Sex,Not reported,1002,4028,24.875868918,3,1
LIRAGLUTIDE,Sex,Female,1083,1830,59.180327869,3,1
LIRAGLUTIDE,Sex,Male,392,1830,21.420765027,3,1
LIRAGLUTIDE,Sex,Not reported,355,1830,19.398907104,3,1
SEMAGLUTIDE,Sex,Female,21694,35705,60.758997339,3,1
SEMAGLUTIDE,Sex,Male,9028,35705,25.284974093,3,1
SEMAGLUTIDE,Sex,Not reported,4983,35705,13.956028567,3,1
TIRZEPATIDE,Sex,Female,40691,70111,58.037968364,3,1
TIRZEPATIDE,Sex,Not reported,16885,70111,24.083239435,3,1
TIRZEPATIDE,Sex,Male,12535,70111,17.878792201,3,1
DULAGLUTIDE,Indication (top 5),Product used for unknown indication,2199,4028,54.59285005,4,1
DULAGLUTIDE,Indication (top 5),Type 2 diabetes mellitus,1258,4028,31.231380338,4,1
DULAGLUTIDE,Indication (top 5),Diabetes mellitus,389,4028,9.6573982125,4,1
DULAGLUTIDE,Indication (top 5),Weight control,72,4028,1.7874875869,4,1
DULAGLUTIDE,Indication (top 5),Weight decreased,15,4028,0.3723932473,4,1
LIRAGLUTIDE,Indication (top 5),Product used for unknown indication,529,1830,28.907103825,4,1
LIRAGLUTIDE,Indication (top 5),Type 2 diabetes mellitus,420,1830,22.950819672,4,1
LIRAGLUTIDE,Indication (top 5),Diabetes mellitus,358,1830,19.56284153,4,1
LIRAGLUTIDE,Indication (top 5),Obesity,168,1830,9.1803278689,4,1
LIRAGLUTIDE,Indication (top 5),Weight control,152,1830,8.306010929,4,1
SEMAGLUTIDE,Indication (top 5),Product used for unknown indication,12032,35705,33.698361574,4,1
SEMAGLUTIDE,Indication (top 5),Type 2 diabetes mellitus,9776,35705,27.379918779,4,1
SEMAGLUTIDE,Indication (top 5),Weight control,7433,35705,20.817812631,4,1
SEMAGLUTIDE,Indication (top 5),Obesity,1917,35705,5.3689959389,4,1
SEMAGLUTIDE,Indication (top 5),Diabetes mellitus,1476,35705,4.1338748074,4,1
TIRZEPATIDE,Indication (top 5),Product used for unknown indication,34117,70111,48.661408338,4,1
TIRZEPATIDE,Indication (top 5),Weight control,24402,70111,34.804809516,4,1
TIRZEPATIDE,Indication (top 5),Type 2 diabetes mellitus,4091,70111,5.8350330191,4,1
TIRZEPATIDE,Indication (top 5),Diabetes mellitus,2081,70111,2.9681505042,4,1
TIRZEPATIDE,Indication (top 5),Sleep apnoea syndrome,769,70111,1.0968321661,4,1
DULAGLUTIDE,Outcome,Other Serious,1278,4028,31.727904667,5,1
DULAGLUTIDE,Outcome,Hospitalization,905,4028,22.467725919,5,1
DULAGLUTIDE,Outcome,Death,63,4028,1.5640516385,5,1
DULAGLUTIDE,Outcome,Life-Threatening,55,4028,1.3654419067,5,1
DULAGLUTIDE,Outcome,Disability,24,4028,0.5958291956,5,1
DULAGLUTIDE,Outcome,Required Intervention,5,4028,0.1241310824,5,1
DULAGLUTIDE,Outcome,Congenital Anomaly,1,4028,0.0248262165,5,1
LIRAGLUTIDE,Outcome,Other Serious,902,1830,49.289617486,5,1
LIRAGLUTIDE,Outcome,Hospitalization,464,1830,25.355191257,5,1
LIRAGLUTIDE,Outcome,Disability,52,1830,2.8415300546,5,1
LIRAGLUTIDE,Outcome,Life-Threatening,37,1830,2.0218579235,5,1
LIRAGLUTIDE,Outcome,Death,27,1830,1.4754098361,5,1
LIRAGLUTIDE,Outcome,Required Intervention,5,1830,0.2732240437,5,1
LIRAGLUTIDE,Outcome,Congenital Anomaly,3,1830,0.1639344262,5,1
SEMAGLUTIDE,Outcome,Other Serious,12748,35705,35.703682958,5,1
SEMAGLUTIDE,Outcome,Hospitalization,5289,35705,14.813051393,5,1
SEMAGLUTIDE,Outcome,Disability,657,35705,1.8400784204,5,1
SEMAGLUTIDE,Outcome,Life-Threatening,456,35705,1.2771320543,5,1
SEMAGLUTIDE,Outcome,Death,306,35705,0.8570228259,5,1
SEMAGLUTIDE,Outcome,Required Intervention,165,35705,0.4621201512,5,1
SEMAGLUTIDE,Outcome,Congenital Anomaly,9,35705,0.0252065537,5,1
TIRZEPATIDE,Outcome,Other Serious,10201,70111,14.54978534,5,1
TIRZEPATIDE,Outcome,Hospitalization,4730,70111,6.7464449231,5,1
TIRZEPATIDE,Outcome,Life-Threatening,625,70111,0.8914435681,5,1
TIRZEPATIDE,Outcome,Disability,533,70111,0.7602230748,5,1
TIRZEPATIDE,Outcome,Death,405,70111,0.5776554321,5,1
TIRZEPATIDE,Outcome,Required Intervention,132,70111,0.1882728816,5,1
TIRZEPATIDE,Outcome,Congenital Anomaly,28,70111,0.0399366718,5,1
