event_type,event,sema_a,sema_PRR,tirz_a,tirz_PRR,prr_diff,direction,ci_overlap
PT,Cyclic vomiting syndrome,360,358.5928,3,0.1565,-358.4362523,SEMA higher,0
PT,Optic ischaemic neuropathy,627,100.8887,105,2.7948,-98.09387459,SEMA higher,0
PT,Injection site coldness,7,2.1068,101,46.7175,44.610680074,TIRZ higher,0
PT,Gallbladder injury,90,44.8241,22,3.0127,-41.81143502,SEMA higher,0
PT,Stressed eating,11,32.8710,1,0.8673,-32.00372177,SEMA higher,0
PT,Glycosylated haemoglobin decreased,82,32.6718,19,2.3540,-30.31773667,SEMA higher,0
PT,Salt craving,5,34.8632,2,4.6255,-30.2376874,SEMA higher,1
PT,Facial wasting,13,30.2148,1,0.6938,-29.52093528,SEMA higher,0
PT,Impaired gastric emptying,2082,33.4109,804,4.3076,-29.10328034,SEMA higher,0
PT,Lack of satiety,27,37.6522,18,9.6068,-28.04543766,SEMA higher,0
PT,Lumbosacral radiculoplexus neuropathy,3,31.3769,1,3.4691,-27.90774321,SEMA higher,1
PT,Injection site hypersensitivity,1,0.0788,287,24.3830,24.30419034,TIRZ higher,0
PT,Food craving,502,33.9831,391,11.1640,-22.81913462,SEMA higher,0
PT,Injection site injury,29,1.6069,421,24.1405,22.533568391,TIRZ higher,0
GROUP,GASTROPARESIS,2124,26.1274,902,4.0612,-22.06620674,SEMA higher,0
PT,Hunger,1057,30.1846,817,9.9740,-20.21063417,SEMA higher,0
PT,Medullary thyroid cancer,21,31.3769,18,12.0860,-19.29088988,SEMA higher,1
PT,Fear of eating,11,19.1748,1,0.6122,-18.5625533,SEMA higher,0
PT,Appetite disorder,213,17.9658,33,1.0161,-16.94968216,SEMA higher,0
PT,Hyperactive pharyngeal reflex,4,16.7343,1,1.6011,-15.13319494,SEMA higher,1
