event_type,event,sema_a,sema_PRR,tirz_a,tirz_PRR,dula_a,dula_PRR,lira_a,lira_PRR,n_drugs_signal
GROUP,GALLBLADDER,890,4.6817403457,908,2.3818249353,112,4.8579767535,73,6.9484568605,4
GROUP,GASTROPARESIS,2124,26.127399138,902,4.061192395,974,81.050093315,181,28.273347056,4
GROUP,PANCREATITIS,783,4.3278435842,1149,3.3203015952,90,4.1253302049,39,3.9162636834,4
GROUP,THYROID_NEO,138,4.2295555614,162,2.5145319421,8,2.0265167241,14,7.8487127826,4
PT,Abdominal distension,662,3.159041144,860,2.0890037931,199,8.16493578,26,2.3081924209,4
PT,Abdominal pain upper,1464,3.8695755878,1849,2.4921613697,282,6.2783596833,46,2.2265607484,4
PT,Biliary colic,65,9.1869202209,68,4.83072386,3,3.1735082079,6,14.108732394,4
PT,Blood glucose decreased,395,7.2926519942,349,3.1420169051,41,5.9263045134,22,6.9590248832,4
PT,Cholecystitis,181,8.7238290988,129,2.9185880712,38,14.234225407,8,6.4151136728,4
PT,Cholelithiasis,333,6.0941944433,430,4.0887787811,57,8.4255280368,34,10.979522888,4
PT,Constipation,2434,5.2567440544,3542,4.0368941111,593,10.587038021,61,2.3418306966,4
PT,Dehydration,859,4.5294896028,1022,2.7374418785,220,9.7183213366,36,3.4317231929,4
PT,Diabetic retinopathy,30,6.1826336917,26,2.6144113644,4,6.6149399618,3,10.88826087,4
PT,Dyspepsia,859,4.6173674044,1361,3.8907920006,241,10.863942434,28,2.7134277533,4
PT,Early satiety,19,4.4908508755,38,5.0060758988,41,100.17366339,5,21.852530541,4
PT,Eructation,512,9.1694950824,1438,21.22807892,41,5.5314990471,14,4.1237591155,4
PT,Flatulence,427,3.9565660467,747,3.7064620415,38,2.9345028317,12,2.0318864097,4
PT,Gallbladder injury,90,44.824094265,22,3.0126592494,37,102.27807718,10,50.900406504,4
PT,Gastrooesophageal reflux disease,391,2.4875009327,839,2.8497983084,79,4.3434552427,18,2.1622967333,4
PT,Hunger,1057,30.18461647,817,9.973982304,14,2.1139849997,11,3.6568830479,4
PT,Ileus,369,16.798061006,161,2.9735338046,135,44.34103836,12,7.8504702194,4
PT,Impaired gastric emptying,2082,33.410886066,804,4.3076057277,944,95.460030786,179,33.131537324,4
PT,Nausea,4819,3.5618950709,8230,3.2206294883,1119,7.0275989625,164,2.23491141,4
PT,Optic ischaemic neuropathy,627,100.88869217,105,2.7948175785,19,8.2896324233,8,7.5974213121,4
PT,Pancreatic disorder,26,2.4225642631,49,2.3941833215,4,3.2161810005,3,5.305720339,4
PT,Pancreatitis,457,6.183366863,557,3.8749359305,54,5.8512408846,25,5.9220109724,4
PT,Vomiting,3007,3.5993337727,4329,2.6794431853,1079,11.080100668,114,2.5146231899,4
GROUP,GI_COMMON,9414,2.6727636973,16475,2.4443328321,1397,3.4050841019,334,1.7822983921,3
GROUP,PANC_MALIG,104,3.4313291929,82,1.3231072898,12,3.341517466,6,3.6666178624,3
PT,Appetite disorder,213,17.965786169,33,1.0161040072,7,3.776263803,5,5.9287405303,3
PT,Bipolar disorder,27,2.2412047132,12,0.4812655869,8,5.7928154923,3,4.7429924242,3
PT,Blindness unilateral,79,3.5691467427,55,1.2050636997,7,2.6562496891,8,6.6982280174,3
PT,Blood glucose abnormal,77,2.9285074919,105,2.0387568529,50,16.801477942,3,2.1331345826,3
PT,Blood glucose increased,825,3.83537644,765,1.7577297189,273,10.824683321,71,6.0769438463,3
PT,Cholecystitis acute,26,3.0901458925,64,4.2424940906,4,4.0503242012,,,3
PT,Colitis ischaemic,49,4.2007279598,57,2.471749975,12,8.6561214357,,,3
PT,Diabetes mellitus inadequate control,215,8.4062631611,14,0.2292732595,9,2.6711189775,18,11.859352802,3
PT,Diabetic neuropathy,16,2.4976609739,4,0.2973533805,3,4.0431172186,6,18.016546763,3
PT,Feeding disorder,278,4.6170537218,551,5.1063757276,16,2.1788151762,1,0.298557463,3
PT,Food craving,502,33.983142879,391,11.164008262,6,2.039705455,5,3.743348281,3
PT,Gallbladder disorder,70,3.0924049545,143,3.4056148036,16,6.0532317732,2,1.6448604269,3
PT,Gastrointestinal disorder,626,2.5315828074,841,1.7280546404,65,2.2570919982,27,2.0594572368,3
PT,Gastrointestinal pain,49,2.0377288711,117,2.5962944413,26,9.5688417231,1,0.791998735,3
PT,Glycosylated haemoglobin decreased,82,32.671784264,19,2.3540475953,9,19.148021434,,,3
PT,Glycosylated haemoglobin increased,429,10.970395687,177,1.9513815592,122,23.778717531,15,6.1080487805,3
PT,Haematemesis,64,2.0284034576,72,1.1422721322,8,2.2017750745,5,3.0267101765,3
PT,Hypoacusis,177,2.1664541757,114,0.681666181,41,4.3688570133,10,2.3284983728,3
PT,Hypoglycaemia,116,1.6803861746,277,2.1142948467,17,2.1553365644,11,3.0679697071,3
PT,Increased appetite,829,19.616456939,531,5.3497701605,9,1.3169813815,11,3.5508249549,3
PT,Injection site haemorrhage,306,2.0150734018,1292,5.010739655,79,4.5467659137,2,0.2507936508,3
PT,Injection site vesicles,72,5.140237431,124,4.8333845362,6,3.485018216,,,3
PT,Intestinal obstruction,637,7.990830038,304,1.7251035813,185,18.500259538,19,4.0122860275,3
PT,Lipase increased,42,3.6454450107,137,7.3685243374,4,2.9131177908,1,1.5961121734,3
PT,Malnutrition,121,4.9386676868,103,2.0555300797,55,19.091468565,3,2.1909886264,3
PT,Pancreatitis acute,124,3.1250854475,198,2.5985610675,11,2.3495535482,3,1.4061201572,3
PT,Pancreatitis chronic,12,2.4609306655,21,2.2415870219,5,8.9740595453,2,7.8015576324,3
PT,Pancreatitis necrotising,37,5.7543694744,32,2.4309181468,4,5.0159644081,2,5.4918859649,3
PT,Postmenopausal haemorrhage,24,4.0002378945,64,6.3134746182,,,3,9.2069852941,3
PT,Regurgitation,30,4.5473718819,33,2.5160670654,6,7.5741062562,1,2.7369398907,3
PT,Thyroid cancer,23,2.0737583841,37,1.7114339008,6,4.723974796,7,12.173680556,3
PT,Thyroid mass,44,5.1852848952,53,3.188384513,1,0.9515208865,3,6.323989899,3
PT,Visual impairment,846,3.4472684164,473,0.9253167694,65,2.2280815833,32,2.410660891,3
PT,Weight increased,2243,5.3563415267,1919,2.2386078348,63,1.2111495359,71,3.009925008,3
GROUP,INJECTION_SITE,1518,1.0008001884,10111,3.8360607711,600,3.5297354163,34,0.4370506108,2
PT,Abdominal discomfort,662,2.0576013157,1102,1.7617388455,54,1.4536598587,38,2.2522815488,2
PT,Abnormal loss of weight,172,16.31691897,44,1.6095754162,2,1.2396245919,6,8.2514003295,2
PT,Acute abdomen,12,6.5198682567,17,4.9145905936,,,,,2
PT,Acute cholecystitis necrotic,11,7.1905317883,18,6.5730747259,2,10.375488022,1,11.280630631,2
PT,Allodynia,90,22.819538898,94,12.152703375,,,,,2
PT,Anorexia nervosa,4,5.9765459019,9,8.1448969429,,,,,2
PT,Appendicitis,45,2.1714094107,110,2.8548890642,,,3,2.7550055006,2
PT,Appendicitis perforated,10,2.249237705,22,2.6317483098,,,,,2
PT,Benign neoplasm of thyroid gland,4,4.5227914934,5,2.8909356433,,,,,2
PT,Bile duct stone,22,3.5399541111,30,2.4779448371,,,1,2.9706998814,2
PT,Biliary tract disorder,6,2.3459339054,13,2.7059157621,,,,,2
PT,Blindness,178,2.3890844382,87,0.5644894286,29,3.3626619937,7,1.7771796431,2
PT,Blood glucose fluctuation,85,6.489132868,39,1.3666241223,14,8.5652251686,2,2.6458531432,2
PT,Blood insulin increased,8,7.7834086165,7,3.3114353733,1,7.5741062562,,,2
PT,Bowel movement irregularity,101,5.8041455394,63,1.7119169815,6,2.7609135806,2,2.0187827489,2
PT,Breath odour,14,3.8281143686,23,3.3245759898,,,,,2
PT,Cholecystectomy,136,7.7305321992,6,0.1442129559,,,18,17.594613583,2
PT,Cholecystitis chronic,11,7.9343799043,9,3.1222104948,2,11.304636203,,,2
PT,Cold sweat,58,2.1978964096,70,1.3342779892,2,0.6529401945,4,2.8834772596,2
PT,Complicated appendicitis,5,10.458955328,5,5.203684158,,,,,2
PT,Cyclic vomiting syndrome,360,358.59275412,3,0.1565017792,3,2.847408367,15,32.355297158,2
PT,Decreased appetite,2198,5.1188563375,1142,1.2497596863,229,4.350750847,45,1.8673012875,2
PT,Depression suicidal,11,2.7392502051,33,4.7047007456,,,1,4.6897003745,2
PT,Diabetic ketoacidosis,62,1.7975196961,67,0.9698103994,12,3.0438471224,9,5.0219919786,2
PT,Diarrhoea,2462,1.9247620592,5186,2.1253662048,807,5.5397184498,76,1.1349445727,2
PT,Disability,164,5.0117419251,,,,,14,7.6937019969,2
PT,Discoloured vomit,14,4.921861331,15,2.6459410973,1,2.8689796425,,,2
PT,Drug effect less than expected,208,2.345512354,55,0.296352709,,,10,2.1360457182,2
PT,Duodenogastric reflux,6,3.9221082481,10,3.469122772,,,,,2
PT,Dysaesthesia,54,9.7376480644,36,2.997322075,,,,,2
PT,Emotional distress,701,7.5216493308,43,0.1964085309,8,0.6597653533,84,15.527103632,2
PT,Epigastric discomfort,12,2.1182694336,10,0.8709094825,3,4.6183574733,1,3.3659946237,2
PT,Eye haemorrhage,41,2.3724324673,16,0.4452350082,6,2.9976673837,2,2.1909886264,2
PT,Food aversion,53,11.985397457,46,4.9868639847,,,2,7.0742937853,2
PT,Food poisoning,38,2.5274423051,85,3.0399529445,4,2.2847982673,1,1.2534034034,2
PT,Gallbladder enlargement,9,3.5859275412,14,2.9140631285,1,3.3513744496,,,2
PT,Gallbladder polyp,10,8.3671642627,8,3.2022671741,,,,,2
PT,Gastric dilatation,8,2.7890547542,18,3.4060478125,,,,,2
PT,Gastric hypomotility,3,0.9296849181,40,8.4958108702,77,478.03785388,,,2
PT,Gastric pH decreased,5,3.4291656814,12,4.6254970293,1,5.8262355817,,,2
PT,Gastrointestinal hypomotility,14,0.6874430732,267,9.2780211698,480,470.9288864,2,1.9323302469,2
PT,Gastrointestinal injury,10,3.4012862857,6,0.9833733842,10,30.789049822,,,2
PT,Gastrointestinal sounds abnormal,126,9.2804814886,134,4.9806691226,3,1.6441619948,1,1.2045695046,2
PT,Glycosylated haemoglobin abnormal,31,10.132112974,12,1.699162174,4,9.7730403306,,,2
PT,Hiccups,83,5.6830984763,52,1.6859288238,2,1.0945240255,3,3.6241678726,2
PT,Hyperphagia,124,15.913011788,43,2.199099939,,,,,2
PT,Hypoglycaemic unconsciousness,9,8.0111147196,6,2.4977683958,,,,,2
PT,Ileus paralytic,19,2.0592761786,41,2.3445170382,3,2.8261590508,1,2.0662541254,2
PT,Infrequent bowel movements,37,8.6476278693,24,2.601842079,,,1,3.8826356589,2
PT,Injection site bruising,210,1.0925907817,1183,3.4838474017,69,3.1936771674,11,1.1143729773,2
PT,Injection site coldness,7,2.1068399223,101,46.717519996,7,19.071490573,,,2
PT,Injection site discomfort,19,0.6067790878,143,2.5097026462,12,3.4506178844,,,2
PT,Injection site injury,29,1.6069388319,421,24.140507223,20,9.9137516442,1,1.0661132397,2
PT,Injection site mass,64,0.8798858245,651,5.5172612164,53,6.5721616172,2,0.5376918948,2
PT,Injection site pain,506,0.6893170168,3796,2.8815733134,368,4.517750101,8,0.2139878664,2
PT,Injection site pruritus,15,0.1158673042,1157,5.6346865426,29,2.0330348152,3,0.461366986,2
PT,Injection site urticaria,14,0.2400415977,427,4.3847521173,22,3.4257881915,2,0.6808863513,2
PT,Intestinal ischaemia,27,2.6147388321,25,1.1990055664,5,4.1707633569,1,1.8226346434,2
PT,Intraductal papillary mucinous neoplasm,6,7.1718550823,6,3.5682405655,1,9.4676328203,1,20.869166667,2
