event_type,event,newer_a,newer_PRR,older_a,older_PRR,prr_ratio,flag,ci_overlap
PT,Food craving,893,52.9271,11,2.5798,20.516185953,NEWER HIGHER,0
PT,Hunger,1874,38.9087,25,2.6040,14.941881177,NEWER HIGHER,0
PT,Cyclic vomiting syndrome,363,125.2260,18,12.1916,10.271477079,NEWER HIGHER,0
PT,Optic ischaemic neuropathy,732,63.5377,27,8.1656,7.781193835,NEWER HIGHER,0
PT,Increased appetite,1360,14.7918,20,2.0185,7.328005653,NEWER HIGHER,0
PT,Eructation,1950,29.2153,55,5.1217,5.7042517586,NEWER HIGHER,0
PT,Injection site coldness,108,38.2378,7,13.0980,2.9193696125,NEWER HIGHER,1
PT,Lipase increased,179,6.9805,5,2.5057,2.7858867223,NEWER HIGHER,1
PT,Injection site injury,450,18.1267,21,7.1584,2.5322317758,NEWER HIGHER,0
PT,Injection site vesicles,196,5.7078,6,2.3934,2.3847486149,NEWER HIGHER,1
PT,Abnormal loss of weight,216,7.3201,8,3.4392,2.1284369812,NEWER HIGHER,1
PT,Gastric hypomotility,43,6.0897,77,328.3077,0.0185488131,OLDER HIGHER,0
PT,Gastrointestinal hypomotility,281,6.4625,482,326.4645,0.019795515,OLDER HIGHER,0
PT,Early satiety,57,5.5171,46,79.7603,0.0691712537,OLDER HIGHER,0
PT,Biliary dyskinesia,5,5.6058,3,55.7331,0.1005837223,OLDER HIGHER,0
PT,Oedematous pancreatitis,9,2.2016,3,12.7912,0.1721157304,OLDER HIGHER,1
PT,Blood glucose abnormal,182,2.4609,53,12.2639,0.2006646689,OLDER HIGHER,0
PT,Malnutrition,224,3.2687,58,13.8650,0.235749165,OLDER HIGHER,0
GROUP,GASTROPARESIS,3026,16.2913,1155,68.7418,0.2369923265,OLDER HIGHER,0
PT,Gallbladder injury,112,24.3041,47,96.2530,0.2525017313,OLDER HIGHER,0
