drug_label,event_type,event,age_pattern,a_young,prr_young,a_middle,prr_middle,a_elderly,prr_elderly,prr_ratio_ey,coverage_pct
SEMAGLUTIDE,PT,Weight fluctuation,Elderly-elevated,8,2.2103842519,16,2.159048456,34,8.292023383,3.751394526,50.6%
SEMAGLUTIDE,PT,Hyperphagia,Elderly-elevated,7,5.2943168257,24,17.812149762,28,19.428203917,3.6696337896,50.6%
SEMAGLUTIDE,PT,Increased appetite,Elderly-elevated,47,9.0935607936,143,12.198933984,160,21.95626706,2.414485102,50.6%
SEMAGLUTIDE,PT,Pancreatitis necrotising,Elderly-elevated,5,4.7390358566,10,3.3735132125,9,11.084484199,2.338974537,50.6%
SEMAGLUTIDE,PT,Flatulence,Elderly-elevated,18,2.2058621892,102,3.5507334187,134,4.6752309809,2.1194574184,50.6%
SEMAGLUTIDE,PT,Glycosylated haemoglobin increased,Elderly-elevated,11,6.5891554551,68,5.4383359546,156,13.674808501,2.0753507175,50.6%
SEMAGLUTIDE,PT,Biliary colic,Youth-elevated,18,17.503659709,14,6.2592895749,5,3.6223804571,0.2069498903,50.6%
SEMAGLUTIDE,PT,Prescription drug used without a prescription,Youth-elevated,30,11.344964626,8,2.8006524783,8,3.36850422,0.2969162382,50.6%
SEMAGLUTIDE,PT,Early satiety,Youth-elevated,6,9.7665347654,3,1.9530865967,3,3.2842916145,0.3362801335,50.6%
SEMAGLUTIDE,PT,Abnormal loss of weight,Youth-elevated,26,32.996541185,26,10.602470096,44,12.457657848,0.3775443547,50.6%
TIRZEPATIDE,PT,Vomiting projectile,Elderly-elevated,10,3.7666570337,33,6.8702705215,23,14.412774027,3.82640997,66.0%
TIRZEPATIDE,PT,Injection site hypersensitivity,Elderly-elevated,38,12.595701121,116,31.193804035,68,48.109960989,3.819554031,66.0%
TIRZEPATIDE,PT,Injection site pruritus,Elderly-elevated,159,3.2586396465,418,5.0143610126,335,8.8098100026,2.70352385,66.0%
TIRZEPATIDE,PT,Dyspepsia,Elderly-elevated,134,2.0781231944,412,2.9742761542,445,5.5803056523,2.6852621959,66.0%
TIRZEPATIDE,PT,Injection site reaction,Elderly-elevated,172,3.3855178659,378,6.1527631909,215,8.9308402961,2.6379539704,66.0%
TIRZEPATIDE,PT,Injection site rash,Elderly-elevated,108,3.5327278074,231,5.268016619,183,8.4320257257,2.3868314191,66.0%
TIRZEPATIDE,PT,Obstructive pancreatitis,Youth-elevated,40,52.336708257,21,16.941462536,7,10.966241108,0.2095324959,66.0%
TIRZEPATIDE,PT,Thyroid mass,Youth-elevated,13,6.7328994477,8,1.290778098,11,2.1734892286,0.3228162318,66.0%
TIRZEPATIDE,PT,Fluid intake reduced,Youth-elevated,21,11.864969656,29,5.5047889473,31,4.223024526,0.3559237527,66.0%
TIRZEPATIDE,PT,Pancreatic enzymes increased,Youth-elevated,7,12.429968211,10,5.3782420749,6,5.0613420497,0.407188656,66.0%
