drug_label,pt,n_cases,PRR,PRR_CI,ROR,ROR_CI,EBGM,EBGM_CI,signal_flag,signal_ror,signal_ebgm,strength
DULAGLUTIDE,Gastric hypomotility,77,478.0379,478.0 (342.1 - 668.0),487.3347,487.3 (347.8 - 682.9),206.4880,206.5 (170.6 - 248.1),1,1,1,***
DULAGLUTIDE,Gastrointestinal hypomotility,480,470.9289,470.9 (413.4 - 536.5),534.5044,534.5 (465.6 - 613.6),209.5896,209.6 (194.3 - 225.8),1,1,1,***
DULAGLUTIDE,Gallbladder injury,37,102.2781,102.3 (71.2 - 146.9),103.2170,103.2 (71.7 - 148.6),79.2732,79.3 (60.1 - 103.0),1,1,1,***
DULAGLUTIDE,Early satiety,41,100.1737,100.2 (71.1 - 141.1),101.1935,101.2 (71.6 - 143.0),78.1461,78.1 (60.1 - 100.3),1,1,1,***
DULAGLUTIDE,Impaired gastric emptying,944,95.4600,95.5 (89.5 - 101.8),124.3739,124.4 (114.9 - 134.7),76.3909,76.4 (72.4 - 80.6),1,1,1,***
DULAGLUTIDE,Lymphoid tissue hyperplasia,4,89.1071,89.1 (30.0 - 264.7),89.1947,89.2 (30.0 - 265.2),62.2291,62.2 (25.2 - 131.8),1,1,1,***
DULAGLUTIDE,Ileus,135,44.3410,44.3 (37.2 - 52.9),45.8440,45.8 (38.3 - 54.9),39.7170,39.7 (34.4 - 45.7),1,1,1,***
DULAGLUTIDE,Gastrointestinal injury,10,30.7890,30.8 (16.2 - 58.6),30.8632,30.9 (16.2 - 58.8),27.5569,27.6 (15.2 - 45.6),1,1,1,***
DULAGLUTIDE,Glycosylated haemoglobin increased,122,23.7787,23.8 (19.9 - 28.5),24.4902,24.5 (20.3 - 29.5),22.3955,22.4 (19.2 - 25.9),1,1,1,***
DULAGLUTIDE,Functional gastrointestinal disorder,12,19.1750,19.2 (10.7 - 34.2),19.2293,19.2 (10.8 - 34.4),16.8337,16.8 (9.3 - 27.9),1,1,1,***
DULAGLUTIDE,Glycosylated haemoglobin decreased,9,19.1480,19.1 (9.8 - 37.4),19.1887,19.2 (9.8 - 37.5),16.0568,16.1 (7.8 - 29.3),1,1,1,***
DULAGLUTIDE,Malnutrition,55,19.0915,19.1 (14.6 - 25.0),19.3419,19.3 (14.7 - 25.4),18.0421,18.0 (14.3 - 22.5),1,1,1,***
DULAGLUTIDE,Injection site coldness,7,19.0715,19.1 (8.9 - 40.7),19.1030,19.1 (8.9 - 40.8),15.0787,15.1 (6.5 - 30.6),1,1,1,***
DULAGLUTIDE,Oedematous pancreatitis,3,18.6249,18.6 (5.8 - 59.3),18.6380,18.6 (5.8 - 59.4),10.3526,10.4 (3.0 - 34.8),1,1,1,***
DULAGLUTIDE,Intestinal obstruction,185,18.5003,18.5 (16.0 - 21.4),19.3427,19.3 (16.6 - 22.5),17.6351,17.6 (15.6 - 19.9),1,1,1,***
DULAGLUTIDE,Abdominal pain,836,17.0498,17.0 (16.0 - 18.1),21.2533,21.3 (19.7 - 23.0),16.3445,16.3 (15.4 - 17.3),1,1,1,***
