cohort_id,cohort,slice,period_vs_mdl,occp_cod,reporter_label,reporter_group,n_cases,cohort_n_cases,pct_of_cohort
1,1 SEMAGLUTIDE + NAION,ALL QUARTERS,all quarters,MD,Physician,Healthcare professional,213,627,33.97
1,1 SEMAGLUTIDE + NAION,ALL QUARTERS,all quarters,PH,Pharmacist,Healthcare professional,14,627,2.23
1,1 SEMAGLUTIDE + NAION,ALL QUARTERS,all quarters,HP,Other health professional,Healthcare professional,30,627,4.78
1,1 SEMAGLUTIDE + NAION,ALL QUARTERS,all quarters,RN,Registered nurse,Healthcare professional,0,627,0.00
1,1 SEMAGLUTIDE + NAION,ALL QUARTERS,all quarters,OT,Other,Other,0,627,0.00
1,1 SEMAGLUTIDE + NAION,ALL QUARTERS,all quarters,CN,Consumer,Consumer,162,627,25.84
1,1 SEMAGLUTIDE + NAION,ALL QUARTERS,all quarters,LW,Lawyer,Lawyer,12,627,1.91
1,1 SEMAGLUTIDE + NAION,ALL QUARTERS,all quarters,(blank),(not reported),Not reported,196,627,31.26
1,1 SEMAGLUTIDE + NAION,2025Q3,pre-MDL,MD,Physician,Healthcare professional,48,128,37.50
1,1 SEMAGLUTIDE + NAION,2025Q3,pre-MDL,PH,Pharmacist,Healthcare professional,8,128,6.25
1,1 SEMAGLUTIDE + NAION,2025Q3,pre-MDL,HP,Other health professional,Healthcare professional,13,128,10.16
1,1 SEMAGLUTIDE + NAION,2025Q3,pre-MDL,RN,Registered nurse,Healthcare professional,0,128,0.00
1,1 SEMAGLUTIDE + NAION,2025Q3,pre-MDL,OT,Other,Other,0,128,0.00
1,1 SEMAGLUTIDE + NAION,2025Q3,pre-MDL,CN,Consumer,Consumer,58,128,45.31
1,1 SEMAGLUTIDE + NAION,2025Q3,pre-MDL,LW,Lawyer,Lawyer,0,128,0.00
1,1 SEMAGLUTIDE + NAION,2025Q3,pre-MDL,(blank),(not reported),Not reported,1,128,0.78
1,1 SEMAGLUTIDE + NAION,2025Q4,MDL quarter (established Dec 2025),MD,Physician,Healthcare professional,58,111,52.25
1,1 SEMAGLUTIDE + NAION,2025Q4,MDL quarter (established Dec 2025),PH,Pharmacist,Healthcare professional,1,111,0.90
1,1 SEMAGLUTIDE + NAION,2025Q4,MDL quarter (established Dec 2025),HP,Other health professional,Healthcare professional,9,111,8.11
1,1 SEMAGLUTIDE + NAION,2025Q4,MDL quarter (established Dec 2025),RN,Registered nurse,Healthcare professional,0,111,0.00
1,1 SEMAGLUTIDE + NAION,2025Q4,MDL quarter (established Dec 2025),OT,Other,Other,0,111,0.00
1,1 SEMAGLUTIDE + NAION,2025Q4,MDL quarter (established Dec 2025),CN,Consumer,Consumer,42,111,37.84
